,deg1,deg2,deg3,deg4
ed_infections_rate,-0.006528947,1.99E-04,-2.18E-06,5.38E-09
ed_digest_rate,0.033651253,-0.001580713,1.24E-05,-2.50E-08
ed_injury_rate,-0.005541586,-0.001526723,1.51E-05,-3.20E-08
ed_resp_rate,-0.00491211,0.001375978,-1.15E-05,2.44E-08
ed_nervs_rate,0.01050178,-3.15E-04,1.86E-06,-4.13E-09
ed_symp_rate,0.059937879,-0.002919087,2.54E-05,-5.60E-08
ed_poison_rate,0.007617207,-2.80E-04,2.19E-06,-4.27E-09
ed_skin_rate,0.012112751,-7.03E-04,5.12E-06,-8.13E-09
ed_psychneaur_rate,0.015377838,-8.22E-04,7.09E-06,-1.44E-08
ed_musc_rate,0.024744659,-0.001446418,1.37E-05,-3.22E-08
ed_genit_rate,0.013146616,-7.05E-04,5.49E-06,-1.13E-08
ed_other_rate,0.016786879,-8.66E-04,1.01E-05,-2.39E-08
ed_circ_rate,0.001814561,-2.34E-04,2.32E-06,-5.88E-09
ed_preg)rate,0.009454024,-4.69E-04,4.44E-06,-1.09E-08
